PL,A2
A,0.86
A,0.82
A,0.73
A,0.73
P,0.64
P,0.64
P,0.59
P,0.59
P,0.59
P,0.59
P,0.59
P,0.59
P,0.59
P,0.55
P,0.55
P,0.55
P,0.55
P,0.55
P,0.55
P,0.55
P,0.50
P,0.50
P,0.50
P,0.50
P,0.50
P,0.50
P,0.50
PP,0.45
PP,0.45
PP,0.45
PP,0.45
PP,0.45
PP,0.45
PP,0.45
PP,0.45
PP,0.45
PP,0.45
PP,0.45
PP,0.45
PP,0.41
PP,0.41
PP,0.41
PP,0.41
PP,0.36
PP,0.36
PP,0.36
PP,0.36
PP,0.32
PP,0.32
PP,0.32
PP,0.32
PP,0.32
NP,0.27
NP,0.27
NP,0.27
NP,0.27
NP,0.27
NP,0.27
NP,0.23
NP,0.23
NP,0.23
NP,0.18
NP,0.18
NP,0.18
A,0.68
P,0.59
P,0.59
P,0.55
P,0.50
P,0.50
PP,0.45
PP,0.45
PP,0.45
PP,0.45
PP,0.45
PP,0.45
PP,0.41
PP,0.32
PP,0.32
PP,0.32
NP,0.27
NP,0.27
NP,0.27
NP,0.27
NP,0.27
NP,0.27
NP,0.27
NP,0.23
A,0.68
A,0.68
P,0.64
P,0.64
P,0.55
P,0.50
P,0.50
PP,0.45
PP,0.45
PP,0.45
PP,0.45
PP,0.45
PP,0.41
PP,0.41
PP,0.41
PP,0.41
PP,0.41
PP,0.41
PP,0.36
PP,0.36
PP,0.36
PP,0.36
PP,0.36
NP,0.27
NP,0.27
NP,0.27
NP,0.27
NP,0.27
NP,0.27
NP,0.27
NP,0.23
NP,0.23
NP,0.23
NP,0.23
NP,0.18
NP,0.18
NP,0.18
NP,0.18
NP,0.18
NP,0.18
NP,0.18
NP,0.09
A,0.77
A,0.77
A,0.77
A,0.77
A,0.77
A,0.77
A,0.73
A,0.73
A,0.73
A,0.68
A,0.68
A,0.68
A,0.68
A,0.68
A,0.68
A,0.68
P,0.64
P,0.64
P,0.64
P,0.64
P,0.64
P,0.64
P,0.59
P,0.59
P,0.59
P,0.59
P,0.59
P,0.59
P,0.59
P,0.59
P,0.59
P,0.55
P,0.55
P,0.55
P,0.55
P,0.55
P,0.55
P,0.50
P,0.50
P,0.50
P,0.50
P,0.50
P,0.50
P,0.50
P,0.50
PP,0.45
PP,0.45
PP,0.45
PP,0.45
PP,0.45
PP,0.45
PP,0.45
PP,0.41
PP,0.41
PP,0.41
PP,0.41
PP,0.41
PP,0.41
PP,0.41
PP,0.41
PP,0.41
PP,0.41
PP,0.41
PP,0.36
PP,0.36
PP,0.36
PP,0.36
PP,0.36
PP,0.36
PP,0.36
PP,0.36
PP,0.36
PP,0.36
PP,0.32
PP,0.32
PP,0.32
PP,0.32
PP,0.32
PP,0.32
PP,0.32
PP,0.32
PP,0.32
PP,0.32
PP,0.32
NP,0.27
NP,0.27
NP,0.27
NP,0.23
NP,0.23
NP,0.23
NP,0.18
NP,0.14
A,0.86
A,0.82
A,0.82
A,0.82
A,0.82
A,0.77
A,0.77
A,0.77
A,0.77
A,0.77
A,0.77
A,0.77
A,0.73
A,0.73
A,0.73
A,0.73
A,0.73
A,0.73
A,0.73
A,0.73
A,0.73
A,0.73
A,0.73
A,0.73
A,0.73
A,0.73
A,0.68
A,0.68
A,0.68
A,0.68
A,0.68
A,0.68
A,0.68
A,0.68
P,0.64
P,0.64
P,0.64
P,0.64
P,0.64
P,0.64
P,0.64
P,0.64
P,0.64
P,0.64
P,0.64
P,0.64
P,0.64
P,0.59
P,0.59
P,0.59
P,0.59
P,0.59
P,0.59
P,0.59
P,0.59
P,0.59
P,0.59
P,0.55
P,0.55
P,0.55
P,0.55
P,0.55
P,0.55
P,0.55
P,0.55
P,0.55
P,0.55
P,0.55
P,0.50
P,0.50
P,0.50
P,0.50
P,0.50
P,0.50
P,0.50
P,0.50
P,0.50
P,0.50
P,0.50
P,0.50
P,0.50
P,0.50
P,0.50
P,0.50
PP,0.45
PP,0.45
PP,0.45
PP,0.45
PP,0.45
PP,0.45
PP,0.45
PP,0.45
PP,0.45
PP,0.45
PP,0.41
PP,0.41
PP,0.41
PP,0.41
PP,0.36
PP,0.36
PP,0.36
PP,0.36
PP,0.36
PP,0.36
PP,0.32
PP,0.32
PP,0.32
PP,0.32
PP,0.32
PP,0.32
PP,0.32
PP,0.32
NP,0.27
NP,0.27
NP,0.27
NP,0.27
NP,0.27
NP,0.27
NP,0.23
NP,0.23
NP,0.23
A,0.82
A,0.77
A,0.68
A,0.68
P,0.59
P,0.50
PP,0.45
PP,0.41
PP,0.36
PP,0.36
NP,0.27
NP,0.27
NP,0.23
NP,0.14
P,0.59
P,0.59
P,0.55
P,0.50
PP,0.45
PP,0.45
PP,0.45
PP,0.41
PP,0.36
PP,0.36
PP,0.36
PP,0.36
PP,0.36
PP,0.36
PP,0.32
NP,0.27
NP,0.23
NP,0.23
NP,0.18
NP,0.18
NP,0.14
NP,0.09
A,0.77
A,0.77
A,0.73
A,0.73
A,0.73
A,0.73
A,0.68
P,0.64
P,0.64
P,0.59
P,0.59
P,0.59
P,0.59
P,0.59
P,0.59
P,0.59
P,0.55
P,0.55
P,0.55
P,0.55
P,0.55
P,0.55
P,0.55
P,0.55
P,0.55
P,0.55
P,0.50
P,0.50
P,0.50
P,0.50
P,0.50
P,0.50
P,0.50
P,0.50
P,0.50
PP,0.45
PP,0.45
PP,0.45
PP,0.45
PP,0.45
PP,0.45
PP,0.45
PP,0.45
PP,0.41
PP,0.41
PP,0.41
PP,0.41
PP,0.41
PP,0.41
PP,0.41
PP,0.36
PP,0.36
PP,0.36
PP,0.36
PP,0.36
PP,0.36
PP,0.36
PP,0.36
PP,0.36
PP,0.36
PP,0.36
PP,0.36
PP,0.36
PP,0.36
PP,0.36
PP,0.36
PP,0.36
PP,0.36
PP,0.36
PP,0.36
PP,0.36
PP,0.32
PP,0.32
PP,0.32
PP,0.32
PP,0.32
PP,0.32
PP,0.32
PP,0.32
PP,0.32
NP,0.27
NP,0.27
NP,0.27
NP,0.27
NP,0.27
NP,0.27
NP,0.27
NP,0.27
NP,0.27
NP,0.27
NP,0.23
NP,0.23
NP,0.23
NP,0.23
NP,0.18
NP,0.18
NP,0.18
NP,0.18
NP,0.14
NP,0.14
NP,0.14
NP,0.14
NP,0.14
A,0.95
A,0.82
A,0.77
